"5-digit FIPS Code","Uninsured raw value","Primary care physicians raw value","Social associations raw value","Preventable hospital stays raw value","Uninsured adults raw value","Uninsured children raw value","Health care costs raw value","Food environment index raw value","Poor or fair health raw value","Poor physical health days raw value","Poor mental health days raw value","Excessive drinking raw value","Frequent physical distress raw value","Frequent mental distress raw value","Insufficient sleep raw value","Adult smoking raw value","Access to exercise opportunities raw value","Mental health providers raw value","Other primary care providers raw value","Adult obesity raw value","Physical inactivity raw value","MentalDisordersDeath","Suicide"
"01001",0.085009665,0.0004150426,12.631730908,6599,0.1096110384,0.0247619048,10413.28,7.2,0.1841112436,4.2005779826,4.3067392835,0.1687801512,0.1282443447,0.1263835707,0.3590540606,0.191246585,0.7112019204,0.0001264748,0.0002348817,0.333,0.347,23.4562480829028,21.0504790487589
"01003",0.1069928804,0.0007287966,10.692212904,3833,0.1357031075,0.0323802671,9882.51,8,0.1806045782,4.0987477691,4.2496487805,0.1671496869,0.1262200157,0.1282255819,0.3330586814,0.1679548515,0.6851891477,0.0008345238,0.0003730812,0.31,0.265,60.0096015362458,20.1632261161786
"01005",0.1251319664,0.0003851338,8.4729443482,4736,0.1654223969,0.0290142368,10704.01,5.6,0.2577341563,5.0674383044,4.634994147,0.1269871542,0.1621615961,0.1463231059,0.3856316713,0.2154087757,0.5284262665,7.5503e-05,0.0002642606,0.417,0.235,38.5981164119191,12.866038803973
"01007",0.0968007528,0.0005741289,10.15766462,5998,0.1229731899,0.0261944677,10859.57,7.6,0.1999691186,4.3633772783,4.3157100192,0.1592515079,0.1316296828,0.1285403606,0.381488654,0.1991640424,0.4859262492,0,0.0004870921,0.376,0.335,36.8221050461013,14.7288420184405
"01009",0.1211400416,0.0002252877,9.0115070012,4162,0.1556460417,0.034301362,11179.05,8.5,0.2109532316,4.5127526482,4.7015992588,0.1537872189,0.1372005681,0.138279427,0.3594501042,0.1965215818,0.3227207704,6.93565e-05,8.66957e-05,0.338,0.303,34.0273372166792,18.4555049310802
"01011",0.1320648344,0.0002895194,9.6506465933,6767,0.1767180926,0.0278902384,10252.34,4.2,0.2940771388,5.2266193898,4.7919184772,0.1289631731,0.1663247935,0.1484005471,0.4502063587,0.2347829118,0.2219168041,9.34929e-05,0.0006544503,0.372,0.246,31.8806388880033,31.8806388880033
"01013",0.1066708425,0.00030003,11.501150115,7962,0.1398282811,0.0249584027,10425.27,6.5,0.265026132,5.1174326174,5.1345730819,0.1304281127,0.1619792823,0.1547420506,0.419110839,0.2219765552,0.4604000573,0.0002480897,0.0004961794,0.433,0.395,40.0153392133651,33.3461160111376
"01015",0.1119820587,0.0006456623,14.309272234,6450,0.1443131635,0.0230452355,11242.72,6.9,0.1958470142,4.2904480661,4.4765721664,0.1543167701,0.1302095258,0.138065685,0.4131434398,0.2046223175,0.4821711703,0.0008908493,0.0004238021,0.385,0.317,44.3530970347201,22.6113828020142
"01017",0.1065698299,0.0005023195,17.728924741,5511,0.1352213801,0.0248532022,9504.93,6.3,0.2521983554,5.0370446678,4.9326462099,0.1352845089,0.1542820773,0.1456000236,0.3726657479,0.2204036962,0.6320911881,0,0.000117223,0.401,0.301,44.2569262089517,28.5211302235467
"01019",0.1189542484,0.0003498542,10.106899903,6577,0.1493920871,0.0298169466,11691.18,8.5,0.1929159345,4.2779170785,4.6812529447,0.1523273067,0.1300955694,0.1364344403,0.3535507081,0.1914485261,0.3603062834,0.0002320275,0.0001933563,0.35,0.313,49.0696142870056,19.3695845869759
"01021",0.1421126258,0.0001820623,16.385607974,3791,0.1833932533,0.0388421345,10875.77,8.1,0.2146530717,4.7362771144,4.6255724065,0.1506431265,0.1444537954,0.1426070407,0.3517456926,0.1967327502,0.4604403914,0.0004096216,0,0.377,0.332,22.7357124993369,12.1257133329797
"01023",0.1128327374,0.0003848226,20.780420226,4778,0.1411403392,0.0320933625,11161.41,6.4,0.2411128491,4.7381487719,4.7562769582,0.1302524035,0.146574409,0.1420809993,0.3829117428,0.1906205957,0.2736849701,0,0.0002277904,0.413,0.362,28.1272373938836,30.6842589751458
"01025",0.1138065443,0.0005739587,18.448671696,5857,0.145920942,0.0273135669,10025.4,5.4,0.2770052858,5.0341224717,4.8038714851,0.1335369528,0.1583283955,0.1462674381,0.4084477971,0.2093332271,0.4808965277,0.0004863222,0.0004052685,0.341,0.346,25.974025974026,15.0375939849624
"01027",0.134434634,0.00037059,11.858879336,5644,0.1686947611,0.0378006873,10079.09,7.9,0.2058763477,4.472032396,4.5860482369,0.1481913369,0.1379201709,0.1385778102,0.3854052487,0.1913940444,0.4631065174,7.37735e-05,0.0004426411,0.406,0.326,81.6548720740337,84.1292621368833
"01029",0.1189959973,0.0002680247,8.7108013937,5505,0.1529069767,0.0343371798,11851.22,8,0.1830098389,4.3509719859,4.6239163437,0.1597004722,0.1327959796,0.1366156229,0.3350478468,0.1971051177,0.4585893668,0.0003995206,0.0001997603,0.373,0.313,33.4507827483163,42.3709914812007
"01031",0.1080412079,0.0005465974,15.812282825,4614,0.138727183,0.0323216397,10256.14,7.5,0.2022687141,4.5482444526,4.606066663,0.155284197,0.1359314658,0.1344527255,0.3730473188,0.182012209,0.4463041563,0.0005077034,0.0005077034,0.342,0.308,36.938390652643,11.6647549429399
"01033",0.0970501,0.0006824554,17.338055187,6478,0.1229390904,0.02507313,11110.03,7.4,0.2024993655,4.3370482596,4.4916322024,0.1582277262,0.1311340438,0.13365516,0.3695078304,0.1837114645,0.6450356434,0.0002575707,0.001030283,0.306,0.366,60.7101244864169,14.7176059361011
"01035",0.1279908056,0.0004840662,9.6813231142,11309,0.1635951233,0.0293012772,11436.15,5.2,0.2906951469,5.5701879313,5.2802804094,0.1145255112,0.1794440036,0.1651926789,0.4232037304,0.2347999723,0.3660417297,0.000552399,0.0002367424,0.43,0.407,45.2898550724638,37.2975277067349
"01037",0.1334387544,0,9.4509025612,4725,0.160697602,0.0380010411,11222.79,6.9,0.2398760761,4.824660434,4.7071571194,0.1353170396,0.1500797576,0.1441541472,0.3680937197,0.205045703,0.1066816882,9.32488e-05,9.32488e-05,0.403,0.353,81.1004710065816,62.3849776973705
"01039",0.1232830253,0.0005072348,13.348283411,8193,0.159318871,0.0283286119,11829.64,7.5,0.2244928919,4.7699995605,4.7970467132,0.1540189052,0.1447478206,0.14119544,0.3591244884,0.2093981084,0.6202568516,0.0005021805,0.0006079027,0.317,0.355,23.1347599768652,19.5755661342706
"01041",0.1150662988,0.0001437504,10.781283692,6215,0.1466123658,0.0349969568,10103.35,6.2,0.222906023,4.589517957,4.6641646183,0.1443564624,0.1415386866,0.1406169471,0.3755186144,0.1997713662,0.2243635841,0.0002864714,0.0007877963,0.38,0.335,45.5122523774163,43.1168706733418
"01043",0.1283388794,0.0005820228,12.610493386,6303,0.1665222772,0.0286996452,10548.23,8.3,0.2070415356,4.4965092871,4.7505766135,0.1589564952,0.137452814,0.1386381597,0.3537426646,0.2034060491,0.5527945676,0.0011462716,0.0006463021,0.369,0.367,46.5152023815784,23.4598412011439
"01045",0.1104233721,0.0001625157,11.17295738,5162,0.1428278338,0.0267895231,10873.45,6.7,0.2261333682,4.7168411445,4.4415549183,0.1439450885,0.1444525049,0.1364086153,0.4084584768,0.1861218467,0.6030327755,0.0007464945,0.000726319,0.372,0.32,41.211482464852,16.8899518298574
