"FIPS_county_code","state_code","fipscode","distance_austin","distance_washington","distance_sanfrancisco","distance_nyc","distance_chicago","twitter_user_unique","twitter_user_sxsw_fol_Mar06","twitter_user_sxsw_fol_Apr06","twitter_user_sxsw_fol_May06","twitter_user_sxsw_fol_Jun06","twitter_user_sxsw_fol_Jul06","twitter_user_sxsw_fol_Aug06","twitter_user_sxsw_fol_Sep06","twitter_user_sxsw_fol_Oct06","twitter_user_sxsw_fol_Nov06","twitter_user_sxsw_fol_Dec06","twitter_user_sxsw_fol_Jan07","twitter_user_sxsw_fol_Feb07","twitter_user_sxsw_fol_Mar07","pop_density","pop2016","white_pop","black_pop","native_pop","asian_pop","hispanic_pop","share_20_24","share_25_29","share_30_34","share_35_39","share_40_44","share_45_49","fox_news_share","TV_viewership_prime_pop","sh_emp_information","sh_emp_manufac","census_poverty","census_o25_highschool","census_o25_college","bls_unemployment_rate","twitter_user_unique_pop_ln","twitter_user_sxsw_fol_Mar07_d","twitter_user_unique_ln","twitter_user_sxsw_fol_Mar07_ln","census_reg","pop_deciles","pop_gr","share_50_over","twitter_users_csvy_15_ln","sh_emp_consre","lnarea","twitter_user_sxsw_fol_pre06_d","twitter_user_sxsw_fol_pre06","twitter_user_sxsw_fol_pre06_ln","don_D1996_ln","don_R1996_ln","don_can_D2016_ln","don_can_R2016_ln","don_can_D2016_ln_diff","don_can_R2016_ln_diff","d_obama_trump","Republican_county","Democrat_county","swing_county","twitter_user_sxsw_fol_pre06_2","twitter_user_sxsw_fol_pre06_3","twitter_user_sxsw_fol_pre06_4","twitter_user_sxsw_fol_pre06_5","twitter_user_sxsw_fol_pre06_n10","twitter_user_un08_ln","twitter_user_un10_ln","twitter_user_un12_ln","twitter_user_un14_ln","twitter_user_un15_ln"
"001","01","01001",1083.3380758565,1120.97110197571,3290.24538881472,1447.38556624663,1036.73586049297,684,0,0,0,0,0,0,0,0,0,0,0,0,0,91.8000030517578,55416,0.75,0.190486505627632,0.00485419388860464,0.0114046484231949,0.0268875416368246,0.0594413168728352,0.0642955079674721,0.0624909773468971,0.0644037798047066,0.0687166154384613,0.0711888298392296,0.257386,0.428049,0.00778498593717813,0.0911955535411835,12.9,33.5,22.6,5.2,0.0122674517333508,0,6.5294189453125,0,3,8,0.260829985141754,0.342572540044785,7.82168340682983,0.0522706210613251,6.40421962738037,0,0,0,11.7121448516846,9.70509719848633,8.57602787017822,10.0188674926758,0.974625587463379,3.11011266708374,0,1,0,0,0,0,0,0,1,2.30258512496948,5.01063537597656,6.13556480407715,6.51174545288086,6.5294189453125
"003","01","01003",959.800290981007,1340.23270783431,3270.84851387894,1666.89634371124,1240.34515467271,4474,0,0,0,0,0,0,0,0,0,0,0,0,0,114.599998474121,208563,0.832021951675415,0.090428315103054,0.00728317117318511,0.0107497498393059,0.0441641137003899,0.0532453022897243,0.0574646517634392,0.0566255748271942,0.0601065382361412,0.0607873871922493,0.0659944489598274,0.264877,0.436512,0.0103030595928431,0.0671655163168907,13.4,28.8,22.7,5.5,0.0212247055023909,0,8.4062614440918,0,3,10,0.475152760744095,0.407349348068237,9.14350605010986,0.0861414074897766,7.61446523666382,0,0,0,10.6176862716675,11.9733076095581,11.7753047943115,12.4903259277344,2.1765775680542,1.55586242675781,0,1,0,0,0,0,0,0,1,4.83628177642822,7.11558198928833,8.07059383392334,8.38274669647217,8.4062614440918
"005","01","01005",1189.23439031444,1089.87420987911,3425.76451131211,1415.85869497755,1124.46383070386,190,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25965,0.464509904384613,0.475139617919922,0.0036972847301513,0.00450606597587466,0.0421336404979229,0.0640862733125687,0.0713652968406677,0.0709031373262405,0.0622761398553848,0.0617369525134563,0.0638551861047745,0.256356,0.434469,0.00429248064756393,0.348579049110413,26.7,34.5,19.1,8.9,0.00729089975357056,0,5.25227355957031,0,3,6,-0.105857640504837,0.37565952539444,7.0091381072998,0.0204262882471085,6.80740451812744,0,0,0,10.2870817184448,10.6694898605347,6.98007583618164,9.57017993927002,6.98007583618164,-0.110226631164551,0,0,0,1,0,0,0,0,1,1.0986123085022,3.91202306747437,4.90527486801147,5.24174690246582,5.25227355957031
"007","01","01007",1050.68388016032,1120.80527225711,3229.61832293725,1445.96683576728,980.251745023777,140,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7999992370605,22643,0.744159340858459,0.216181606054306,0.00366559205576777,0.00198736926540732,0.0249966885894537,0.0610343143343925,0.0776398852467537,0.0719427615404129,0.067128911614418,0.0681005194783211,0.0734001696109772,0.25826,0.43209,0.00935990363359451,0.0945048332214355,16.8,42.1,21.8,6.6,0.0061638904735446,0,4.94876003265381,0,3,5,0.138926610350609,0.353751718997955,6.81673574447632,0.265700489282608,6.439621925354,0,0,0,5.52545309066772,10.1492137908936,6.69826793670654,8.08054733276367,6.69826793670654,-0.504491806030273,0,1,0,0,0,0,0,0,1,1.3862943649292,3.40119743347168,4.51085948944092,4.94876003265381,4.94876003265381
"009","01","01009",1130.46493539053,1015.05296037222,3244.73080786052,1338.54893492708,877.877534775292,496,0,0,0,0,0,0,0,0,0,0,0,0,0,88.9000015258789,57704,0.874670743942261,0.0143490917980671,0.00506030768156052,0.00265146256424487,0.0906869545578957,0.0559926517307758,0.0593546368181705,0.057586994022131,0.0613822266459465,0.0630112290382385,0.0694752559065819,0.264276,0.43519,0.00685696071013808,0.174294367432594,16.7,33.4,22.4,5.4,0.0085588600486517,0,6.20859003067017,0,3,8,0.128331482410431,0.380077630281448,7.80445528030396,0.0633072853088379,6.47794103622437,0,0,0,8.61268520355225,9.62251663208008,8.29179668426514,9.33459091186523,-0.680413246154785,-0.233493804931641,0,1,0,0,0,0,0,0,1,2.19722461700439,4.52178859710693,5.71042680740356,6.17378616333008,6.20859003067017
"011","01","01011",1162.64755821989,1091.14269048014,3388.96776909781,1417.64651158208,1094.41088827766,54,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,10362,0.215305924415588,0.692723393440247,0.00318471342325211,0.00260567455552518,0.0778807178139687,0.0635012537240982,0.0711252689361572,0.0752750411629677,0.063983790576458,0.0645628273487091,0.0623431764543056,0.251954,0.430549,0.0339622646570206,0,24.6,33.3,14.6,7.9,0.0051978169940412,0,4.00733327865601,0,3,3,-0.105567544698715,0.364890933036804,6.08722925186157,0.00603773584589362,6.43797588348389,0,0,0,9.76715183258057,9.19380474090576,7.47420501708984,7.28344821929932,7.47420501708984,-0.520802974700928,0,0,1,0,0,0,0,0,1,0,1.7917594909668,3.55534815788269,3.91202306747437,4.00733327865601
"013","01","01013",1067.62542751828,1182.79373045317,3318.1102302322,1509.48711547749,1122.75770856643,218,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19998,0.522152185440063,0.441044092178345,0.0040004001930356,0.0107510751113296,0.0131013104692101,0.0587058700621128,0.0587558746337891,0.0575057491660118,0.0610561072826385,0.0550555065274239,0.0584558472037315,0.257318,0.43542,0.0246118269860744,0.233399406075478,25.4,37.7,17.4,7.6,0.0108421016484499,0,5.38907194137573,0,3,5,-0.0600235015153885,0.393189340829849,6.84438943862915,0.0513709932565689,6.65657234191895,0,0,0,7.73848819732666,10.0450305938721,7.20860052108765,9.88629055023193,7.20860052108765,2.15611553192139,0,1,0,0,0,0,0,0,1,1.0986123085022,3.98898410797119,5.0434250831604,5.37063789367676,5.38907194137573
"015","01","01015",1189.58676045876,973.616599869704,3317.24004521548,1299.07086895612,910.015799893704,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,195.699996948242,114611,0.726239204406738,0.207344844937325,0.00488609308376908,0.00919632520526648,0.0357731804251671,0.0641735941171646,0.0716597884893417,0.0606660805642605,0.0615734979510307,0.0586156658828259,0.0632138252258301,0.256843,0.431294,0.0149632897228003,0.167080760002136,20.5,31.8,24.5,7,0.0147668393328786,0,7.44190692901611,0,3,9,0.0326617769896984,0.375286847352982,8.60101985931396,0.0292844977229834,6.41720581054688,0,0,0,11.8720111846924,11.2352199554443,10.1073665618896,11.23499584198,0.348847389221191,1.55458927154541,0,1,0,0,0,0,0,0,1,3.29583692550659,6.12686920166016,7.13169860839844,7.41697978973389,7.44190692901611
"017","01","01017",1206.57015302226,1005.88008712685,3385.95733636799,1332.5774510543,1010.60751627162,400,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4000015258789,33843,0.560440838336945,0.393493473529816,0.00254114577546716,0.0108441924676299,0.0226043798029423,0.0630558729171753,0.0641491562128067,0.0554619878530502,0.0550778582692146,0.0593328028917313,0.0645332857966423,0.258878,0.437499,0.0136598367244005,0.323005169630051,21.6,38.4,21.2,6.1,0.0117499809712172,0,5.99396133422852,0,3,6,-0.074113592505455,0.405933290719986,7.38031816482544,0.0393136739730835,6.402099609375,0,0,0,9.34013938903809,9.81743907928467,8.60849571228027,10.4574880599976,1.29460906982422,1.47016620635986,0,1,0,0,0,0,0,0,1,1.60943794250488,4.34380531311035,5.62762117385864,5.96614694595337,5.99396133422852
"019","01","01019",1213.85013499901,941.078567516359,3321.75983690378,1266.08184940689,880.349950597443,227,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9000015258789,25725,0.916929066181183,0.0429154522716999,0.0055976677685976,0.00256559764966369,0.0160544216632843,0.0511564612388611,0.0557823143899441,0.0455587953329086,0.0522060245275497,0.0608746372163296,0.0676773563027382,0.26472,0.43861,0.00683491071686149,0.2860147356987,19.2,36.4,22.1,5.5,0.00878539588302374,0,5.42934560775757,0,3,5,0.073530025780201,0.449251711368561,7.08565044403076,0.0318086221814156,6.39689636230469,0,0,0,9.96829128265381,9.16649341583252,8.8890323638916,8.82025623321533,1.0645866394043,0.386227607727051,0,1,0,0,0,0,0,0,1,1.0986123085022,3.66356158256531,5.00394630432129,5.41164588928223,5.42934560775757
